Date,Meditation,Exercise,Healthy Meal,Junk Food,Alcohol,Steps (thousands),Water Glasses,Hours of Sleep,Mood Notes
2022-04-16,Yes,Yes,Yes,No,Yes,9,6,12,Energetic ⚡
2022-04-17,Yes,Yes,Yes,No,No,,0,4,Great! 🌟
2022-04-18,No,Yes,Yes,Yes,No,12,9,9,Great! 🌟
2022-04-19,Yes,No,No,Yes,Yes,15,2,7,Happy 😊
2022-04-20,Yes,No,Yes,Yes,No,17,11,9,Great! 🌟
2022-04-21,Yes,No,Yes,No,No,9,1,12,Meh 😐
2022-04-22,No,Yes,No,No,Yes,17,10,8,Meh 😐
2022-04-23,No,Yes,Yes,No,Yes,19,11,10,Energetic ⚡
2022-04-24,Yes,No,Yes,No,No,18,3,3,Meh 😐
2022-04-25,Yes,Yes,Yes,Yes,Yes,11,2,4,Energetic ⚡
2022-04-26,No,Yes,Yes,No,No,11,1,7,Tired 😴
2022-04-27,No,Yes,Yes,No,No,15,6,8,Great! 🌟
2022-04-28,Yes,Yes,No,No,No,5,11,3,Meh 😐
2022-04-29,Yes,No,Yes,No,No,17,6,7,Great! 🌟
2022-04-30,Yes,Yes,Yes,No,No,14,1,12,Great! 🌟
2022-05-01,Yes,No,No,No,No,4,5,5,Great! 🌟
2022-05-02,Yes,Yes,Yes,No,,2,6,6,Happy 😊
2022-05-03,No,Yes,Yes,No,No,16,0,6,Meh 😐
2022-05-04,Yes,Yes,Yes,No,No,17,8,8,Meh 😐
2022-05-05,No,Yes,No,Yes,No,15,1,7,Great! 🌟
2022-05-06,Yes,Yes,No,No,No,,2,8,Tired 😴
2022-05-07,Yes,Yes,Yes,No,No,1,8,10,Energetic ⚡
2022-05-08,No,Yes,No,No,No,3,9,3,Happy 😊
2022-05-09,Yes,Yes,No,Yes,No,3,12,11,Energetic ⚡
2022-05-10,No,No,No,Yes,Yes,11,9,4,Meh 😐
2022-05-11,Yes,Yes,No,Yes,No,18,4,7,Meh 😐
2022-05-12,Yes,No,Yes,Yes,Yes,13,10,5,Great! 🌟
2022-05-13,No,No,Yes,No,No,20,4,4,Happy 😊
2022-05-14,No,No,Yes,No,Yes,14,4,3,Energetic ⚡
2022-05-15,Yes,Yes,Yes,No,No,7,5,3,Great! 🌟
2022-05-16,Yes,Yes,Yes,No,No,7,8,8,Great! 🌟
2022-05-17,Yes,Yes,Yes,No,No,11,1,3,Meh 😐
2022-05-18,No,No,Yes,Yes,No,11,3,10,Meh 😐
2022-05-19,Yes,Yes,No,No,Yes,8,3,3,Tired 😴
2022-05-20,Yes,Yes,No,No,Yes,13,10,4,Energetic ⚡
2022-05-21,No,Yes,Yes,No,No,5,5,11,Tired 😴
2022-05-22,Yes,Yes,No,No,Yes,8,3,7,Meh 😐
2022-05-23,No,Yes,Yes,No,Yes,20,0,7,Energetic ⚡
2022-05-24,Yes,Yes,No,No,No,17,2,11,Meh 😐
2022-05-25,No,Yes,No,No,No,20,9,7,Great! 🌟
2022-05-26,Yes,No,Yes,No,Yes,20,0,9,Great! 🌟
2022-05-27,Yes,Yes,Yes,No,No,9,4,10,Great! 🌟
2022-05-28,No,No,Yes,Yes,Yes,6,11,4,Great! 🌟
2022-05-29,Yes,No,Yes,No,No,10,12,3,Meh 😐
2022-05-30,Yes,Yes,Yes,No,Yes,16,6,7,Meh 😐
2022-05-31,Yes,No,Yes,No,No,14,4,9,Meh 😐
2022-06-01,Yes,No,Yes,No,No,0,3,4,Energetic ⚡
2022-06-02,Yes,Yes,Yes,No,Yes,3,10,12,Meh 😐
2022-06-03,Yes,Yes,Yes,No,No,11,2,12,Meh 😐
2022-06-04,Yes,Yes,Yes,No,No,15,10,8,Energetic ⚡
2022-06-05,Yes,No,Yes,No,Yes,18,0,7,Happy 😊
2022-06-06,No,No,Yes,Yes,No,1,12,12,Great! 🌟
2022-06-07,No,Yes,Yes,No,No,5,9,5,Great! 🌟
2022-06-08,Yes,No,Yes,No,Yes,5,10,3,Happy 😊
2022-06-09,No,Yes,Yes,No,No,16,10,8,Great! 🌟
2022-06-10,No,No,Yes,No,No,20,2,12,Energetic ⚡
2022-06-11,No,No,Yes,No,No,14,3,3,Happy 😊
2022-06-12,Yes,No,No,Yes,No,12,0,6,Great! 🌟
2022-06-13,Yes,No,Yes,No,No,7,1,9,Tired 😴
2022-06-14,Yes,No,Yes,Yes,No,20,6,9,Meh 😐
2022-06-15,Yes,Yes,Yes,Yes,No,0,4,10,Meh 😐
2022-06-16,No,Yes,Yes,No,Yes,4,0,10,Great! 🌟
2022-06-17,Yes,Yes,Yes,No,No,13,1,11,Energetic ⚡
2022-06-18,Yes,No,Yes,Yes,No,7,3,8,Meh 😐
2022-06-19,No,No,Yes,No,No,10,2,12,Energetic ⚡
2022-06-20,No,No,Yes,Yes,No,20,4,6,Great! 🌟
2022-06-21,Yes,No,Yes,No,Yes,18,8,6,Meh 😐
2022-06-22,Yes,Yes,Yes,No,Yes,16,1,10,Tired 😴
2022-06-23,No,Yes,Yes,Yes,No,15,7,4,Happy 😊
2022-06-24,Yes,Yes,No,No,No,1,11,8,Happy 😊
2022-06-25,Yes,Yes,Yes,No,No,20,2,3,Tired 😴
2022-06-26,Yes,Yes,No,Yes,No,11,3,4,Great! 🌟
2022-06-27,Yes,Yes,Yes,Yes,Yes,9,6,7,Happy 😊
2022-06-28,No,Yes,Yes,Yes,No,16,7,4,Energetic ⚡
2022-06-29,No,No,No,Yes,No,12,5,6,Meh 😐
2022-06-30,No,Yes,No,No,No,13,8,11,Great! 🌟
2022-07-01,Yes,Yes,Yes,No,No,11,0,5,Great! 🌟
2022-07-02,Yes,Yes,Yes,No,No,10,9,10,Meh 😐
2022-07-03,Yes,No,Yes,No,Yes,8,6,,Great! 🌟
2022-07-04,Yes,No,No,No,No,15,1,8,Great! 🌟
2022-07-05,Yes,Yes,Yes,Yes,Yes,0,7,10,Tired 😴
2022-07-06,No,Yes,Yes,No,No,17,,10,Tired 😴
2022-07-07,Yes,Yes,Yes,Yes,Yes,7,0,8,Tired 😴
2022-07-08,No,Yes,Yes,Yes,No,19,11,5,Great! 🌟
2022-07-09,Yes,Yes,No,No,No,16,12,11,Tired 😴
2022-07-10,Yes,Yes,No,No,Yes,15,3,9,Energetic ⚡
2022-07-11,Yes,Yes,Yes,No,No,17,3,4,Happy 😊
2022-07-12,Yes,No,No,No,Yes,17,7,11,Happy 😊
2022-07-13,Yes,Yes,Yes,No,No,,11,4,
2022-07-14,Yes,Yes,Yes,No,No,3,11,3,Energetic ⚡
2022-07-15,No,No,Yes,No,Yes,8,12,9,Tired 😴
2022-07-16,Yes,No,No,No,Yes,20,0,4,Happy 😊
2022-07-17,Yes,Yes,Yes,No,Yes,13,5,9,Tired 😴
2022-07-18,Yes,No,Yes,No,No,13,12,9,Energetic ⚡
2022-07-19,Yes,Yes,Yes,No,No,19,12,7,Great! 🌟
2022-07-20,Yes,Yes,Yes,Yes,No,20,10,8,Tired 😴
2022-07-21,Yes,Yes,Yes,Yes,Yes,8,10,9,Great! 🌟
2022-07-22,Yes,Yes,Yes,No,Yes,9,11,6,Great! 🌟
2022-07-23,No,Yes,No,Yes,No,12,10,9,Energetic ⚡
2022-07-24,No,Yes,No,Yes,No,3,9,3,Great! 🌟
2022-07-25,Yes,Yes,No,No,No,9,3,10,Happy 😊
2022-07-26,Yes,Yes,Yes,No,Yes,16,8,8,Great! 🌟
2022-07-27,No,Yes,Yes,No,No,6,8,6,Happy 😊
2022-07-28,No,Yes,Yes,Yes,Yes,14,6,10,Energetic ⚡
2022-07-29,Yes,Yes,Yes,No,No,13,12,4,Energetic ⚡
2022-07-30,No,Yes,Yes,No,No,12,3,5,Energetic ⚡
2022-07-31,Yes,No,Yes,Yes,No,6,1,3,Meh 😐
2022-08-01,Yes,Yes,Yes,No,No,0,8,11,Happy 😊
2022-08-02,No,No,Yes,No,No,4,4,6,Great! 🌟
2022-08-03,Yes,Yes,Yes,No,No,19,3,8,Energetic ⚡
2022-08-04,Yes,Yes,Yes,No,No,14,7,4,Tired 😴
2022-08-05,Yes,Yes,Yes,No,No,6,4,3,Energetic ⚡
2022-08-06,No,,Yes,No,No,12,5,11,Meh 😐
2022-08-07,Yes,Yes,Yes,No,No,7,12,10,Happy 😊
2022-08-08,Yes,Yes,No,No,No,7,6,6,Tired 😴
2022-08-09,No,Yes,No,No,No,2,12,6,Energetic ⚡
2022-08-10,Yes,No,Yes,No,No,16,8,6,Happy 😊
2022-08-11,Yes,Yes,Yes,Yes,No,9,11,7,Energetic ⚡
2022-08-12,Yes,Yes,Yes,No,No,6,6,5,Happy 😊
2022-08-13,Yes,Yes,Yes,Yes,No,11,3,7,Tired 😴
2022-08-14,Yes,Yes,Yes,No,No,18,2,4,Energetic ⚡
2022-08-15,No,No,Yes,Yes,No,12,7,7,Meh 😐
2022-08-16,Yes,Yes,No,Yes,No,12,10,6,Meh 😐
2022-08-17,Yes,No,Yes,Yes,No,6,7,6,Energetic ⚡
2022-08-18,Yes,No,Yes,No,No,9,9,9,Tired 😴
2022-08-19,Yes,Yes,No,No,No,17,7,6,Happy 😊
2022-08-20,Yes,No,Yes,No,No,2,0,9,Happy 😊
2022-08-21,Yes,Yes,Yes,Yes,No,13,8,6,Energetic ⚡
2022-08-22,Yes,Yes,Yes,No,Yes,2,3,4,Energetic ⚡
2022-08-23,Yes,No,Yes,Yes,No,2,10,6,Meh 😐
2022-08-24,No,Yes,Yes,No,No,6,8,3,Meh 😐
2022-08-25,Yes,No,Yes,No,No,6,3,11,Tired 😴
2022-08-26,Yes,No,Yes,Yes,No,16,11,,Happy 😊
2022-08-27,No,Yes,Yes,No,No,0,1,4,Great! 🌟
2022-08-28,No,Yes,No,Yes,No,,3,10,Happy 😊
2022-08-29,Yes,No,Yes,Yes,No,15,4,3,Meh 😐
2022-08-30,No,Yes,Yes,Yes,No,13,7,7,Tired 😴
2022-08-31,Yes,Yes,Yes,No,No,6,1,9,Meh 😐
2022-09-01,Yes,Yes,Yes,No,No,6,6,6,Energetic ⚡
2022-09-02,Yes,Yes,Yes,Yes,Yes,0,1,9,Great! 🌟
2022-09-03,Yes,No,Yes,No,No,6,3,11,Great! 🌟
2022-09-04,Yes,Yes,Yes,No,No,20,6,6,Tired 😴
2022-09-05,Yes,Yes,No,No,No,20,11,3,
2022-09-06,Yes,Yes,No,No,No,6,11,8,Happy 😊
2022-09-07,Yes,Yes,No,No,No,20,1,11,Tired 😴
2022-09-08,Yes,Yes,Yes,Yes,No,12,,7,Tired 😴
2022-09-09,Yes,Yes,Yes,No,No,20,1,11,Happy 😊
2022-09-10,Yes,Yes,Yes,Yes,No,11,6,8,Great! 🌟
2022-09-11,Yes,Yes,No,Yes,No,12,6,7,Meh 😐
2022-09-12,Yes,No,Yes,No,Yes,11,9,11,Happy 😊
2022-09-13,Yes,No,Yes,No,No,19,6,11,Energetic ⚡
2022-09-14,No,Yes,No,No,No,14,5,6,Energetic ⚡
2022-09-15,Yes,Yes,Yes,No,No,13,5,3,Great! 🌟
2022-09-16,Yes,No,Yes,Yes,Yes,16,2,7,Meh 😐
2022-09-17,Yes,Yes,Yes,Yes,Yes,15,0,3,Energetic ⚡
2022-09-18,Yes,Yes,No,Yes,No,18,8,3,Tired 😴
2022-09-19,No,Yes,Yes,Yes,No,13,0,6,Great! 🌟
2022-09-20,Yes,No,Yes,No,Yes,7,3,9,Great! 🌟
2022-09-21,No,Yes,Yes,No,No,16,7,3,Meh 😐
2022-09-22,Yes,No,Yes,No,No,5,9,10,Meh 😐
2022-09-23,Yes,Yes,No,No,No,8,2,3,Meh 😐
2022-09-24,Yes,Yes,Yes,No,No,12,7,12,Happy 😊
2022-09-25,No,Yes,Yes,No,No,20,0,7,Energetic ⚡
2022-09-26,Yes,Yes,Yes,Yes,No,8,5,7,Great! 🌟
2022-09-27,Yes,Yes,Yes,No,No,3,11,10,Tired 😴
2022-09-28,Yes,No,Yes,Yes,No,3,10,7,Great! 🌟
2022-09-29,Yes,No,No,Yes,No,12,5,12,Happy 😊
2022-09-30,No,No,Yes,Yes,Yes,18,6,9,Happy 😊
2022-10-01,Yes,No,Yes,No,Yes,10,3,10,Energetic ⚡
2022-10-02,Yes,Yes,Yes,No,No,5,12,9,Tired 😴
2022-10-03,No,Yes,No,No,Yes,19,3,6,Energetic ⚡
2022-10-04,Yes,No,No,Yes,No,19,6,4,Meh 😐
2022-10-05,Yes,Yes,Yes,No,No,2,4,8,Meh 😐
2022-10-06,Yes,No,No,Yes,Yes,5,9,9,Great! 🌟
2022-10-07,No,No,No,No,No,2,3,3,Meh 😐
2022-10-08,Yes,No,Yes,No,No,17,10,7,Meh 😐
2022-10-09,Yes,Yes,Yes,Yes,No,2,11,11,Meh 😐
2022-10-10,No,Yes,Yes,Yes,No,6,7,7,Tired 😴
2022-10-11,Yes,No,Yes,Yes,Yes,16,1,9,
2022-10-12,No,Yes,No,No,No,10,8,8,Energetic ⚡
2022-10-13,Yes,Yes,Yes,No,No,18,11,3,Tired 😴
2022-10-14,Yes,No,Yes,No,No,13,10,3,Tired 😴
2022-10-15,Yes,Yes,Yes,No,Yes,13,1,8,Happy 😊
2022-10-16,Yes,No,Yes,No,No,9,8,8,Energetic ⚡
2022-10-17,No,Yes,Yes,Yes,No,1,2,9,Great! 🌟
2022-10-18,Yes,Yes,No,No,No,10,9,9,Meh 😐
2022-10-19,Yes,No,Yes,No,No,15,5,12,Great! 🌟
2022-10-20,Yes,Yes,Yes,No,No,1,4,3,Great! 🌟
2022-10-21,No,,Yes,Yes,Yes,12,11,6,Tired 😴
2022-10-22,Yes,No,Yes,Yes,Yes,7,4,4,Great! 🌟
2022-10-23,Yes,Yes,Yes,No,No,13,4,8,Happy 😊
2022-10-24,Yes,Yes,No,Yes,Yes,16,11,5,Tired 😴
2022-10-25,No,Yes,No,No,No,17,8,7,Tired 😴
2022-10-26,No,No,Yes,No,No,9,7,7,Tired 😴
2022-10-27,Yes,Yes,Yes,Yes,Yes,0,3,8,Meh 😐
2022-10-28,Yes,Yes,Yes,No,No,13,0,11,Great! 🌟
2022-10-29,Yes,No,Yes,No,Yes,20,11,12,Great! 🌟
2022-10-30,No,Yes,Yes,No,No,20,9,9,Tired 😴
2022-10-31,Yes,No,,No,Yes,6,9,4,Happy 😊
2022-11-01,Yes,Yes,Yes,Yes,No,12,7,11,Tired 😴
2022-11-02,Yes,Yes,Yes,No,Yes,8,5,9,Happy 😊
2022-11-03,,No,Yes,No,No,10,12,9,Tired 😴
2022-11-04,Yes,No,Yes,No,Yes,6,4,11,Tired 😴
2022-11-05,Yes,Yes,Yes,No,Yes,16,12,12,Energetic ⚡
2022-11-06,No,No,Yes,No,Yes,2,1,5,Energetic ⚡
2022-11-07,Yes,No,No,No,Yes,9,11,10,Great! 🌟
2022-11-08,No,No,Yes,No,No,1,11,5,Happy 😊
2022-11-09,Yes,Yes,No,Yes,No,3,11,12,Happy 😊
2022-11-10,Yes,Yes,No,No,No,12,9,4,Great! 🌟
2022-11-11,No,Yes,Yes,No,No,6,5,5,Happy 😊
2022-11-12,Yes,No,Yes,No,Yes,13,10,8,Great! 🌟
2022-11-13,Yes,Yes,Yes,No,No,5,12,10,Great! 🌟
2022-11-14,Yes,Yes,No,Yes,Yes,8,3,11,Energetic ⚡
2022-11-15,Yes,No,Yes,No,No,19,8,11,Tired 😴
2022-11-16,Yes,Yes,No,Yes,Yes,8,4,5,Tired 😴
2022-11-17,Yes,Yes,No,Yes,No,4,6,11,Tired 😴
2022-11-18,Yes,Yes,Yes,No,No,20,10,9,Tired 😴
2022-11-19,Yes,Yes,Yes,No,Yes,10,4,5,Happy 😊
2022-11-20,Yes,Yes,Yes,No,No,10,3,10,Meh 😐
2022-11-21,Yes,Yes,Yes,No,No,1,2,5,Happy 😊
2022-11-22,No,Yes,Yes,No,No,9,12,8,Great! 🌟
2022-11-23,Yes,,Yes,No,No,8,1,9,Energetic ⚡
2022-11-24,Yes,Yes,Yes,Yes,Yes,6,3,10,Energetic ⚡
2022-11-25,Yes,Yes,Yes,Yes,No,6,5,9,Energetic ⚡
2022-11-26,Yes,Yes,Yes,No,No,8,12,4,Happy 😊
2022-11-27,No,Yes,Yes,No,No,3,9,11,Energetic ⚡
2022-11-28,Yes,Yes,No,No,No,7,12,9,Energetic ⚡
2022-11-29,Yes,No,No,No,No,20,0,9,Happy 😊
2022-11-30,,No,No,No,Yes,0,3,10,Meh 😐
2022-12-01,Yes,Yes,No,Yes,No,3,7,,Tired 😴
2022-12-02,No,No,No,Yes,No,18,8,12,Happy 😊
2022-12-03,Yes,Yes,Yes,No,No,13,10,9,Great! 🌟
2022-12-04,Yes,Yes,Yes,Yes,No,9,8,12,Energetic ⚡
2022-12-05,Yes,Yes,Yes,No,No,1,0,11,Happy 😊
2022-12-06,No,Yes,No,No,No,10,11,4,Meh 😐
2022-12-07,No,Yes,Yes,Yes,No,0,8,7,Happy 😊
2022-12-08,No,Yes,No,No,No,16,6,7,Meh 😐
2022-12-09,No,Yes,Yes,No,Yes,0,2,3,Tired 😴
2022-12-10,No,Yes,Yes,Yes,No,8,0,4,Energetic ⚡
2022-12-11,Yes,Yes,Yes,No,No,9,6,4,Tired 😴
2022-12-12,Yes,No,Yes,,Yes,5,12,11,Great! 🌟
2022-12-13,Yes,No,No,Yes,No,15,5,12,Great! 🌟
2022-12-14,Yes,Yes,No,Yes,No,0,7,8,Meh 😐
2022-12-15,Yes,Yes,No,Yes,No,9,7,11,Energetic ⚡
2022-12-16,No,Yes,Yes,Yes,Yes,7,3,6,Tired 😴
2022-12-17,Yes,No,Yes,Yes,No,9,3,11,Great! 🌟
2022-12-18,Yes,Yes,No,Yes,No,2,10,3,Meh 😐
2022-12-19,Yes,Yes,Yes,No,Yes,4,4,7,Happy 😊
2022-12-20,Yes,Yes,,No,Yes,8,8,3,Meh 😐
2022-12-21,Yes,No,Yes,No,No,20,11,9,Meh 😐
2022-12-22,Yes,Yes,No,No,Yes,4,6,12,Meh 😐
2022-12-23,Yes,Yes,No,No,No,6,10,6,Energetic ⚡
2022-12-24,Yes,Yes,No,No,No,13,7,10,Meh 😐
2022-12-25,Yes,Yes,Yes,No,Yes,0,12,7,Happy 😊
2022-12-26,Yes,No,Yes,Yes,No,7,7,3,Great! 🌟
2022-12-27,No,Yes,No,No,Yes,13,7,6,Happy 😊
2022-12-28,No,Yes,Yes,No,No,13,8,12,Tired 😴
2022-12-29,No,Yes,No,No,No,1,4,10,Tired 😴
2022-12-30,Yes,No,Yes,No,No,11,1,3,Tired 😴
2022-12-31,Yes,No,Yes,No,No,15,9,5,Happy 😊
2023-01-01,Yes,Yes,No,No,No,11,7,5,Happy 😊
2023-01-02,Yes,Yes,Yes,No,No,11,9,,Tired 😴
2023-01-03,Yes,No,No,Yes,No,9,0,5,Meh 😐
2023-01-04,Yes,Yes,Yes,No,No,4,5,7,Energetic ⚡
2023-01-05,Yes,No,Yes,No,Yes,2,8,4,Meh 😐
2023-01-06,Yes,No,No,No,Yes,7,10,9,Meh 😐
2023-01-07,No,Yes,Yes,Yes,,18,12,11,Happy 😊
2023-01-08,No,Yes,No,No,Yes,13,8,6,Energetic ⚡
2023-01-09,Yes,Yes,Yes,No,No,17,8,3,Energetic ⚡
2023-01-10,No,Yes,Yes,Yes,No,20,9,11,Tired 😴
2023-01-11,No,Yes,Yes,No,Yes,2,1,9,Great! 🌟
2023-01-12,Yes,Yes,Yes,No,Yes,9,0,7,Energetic ⚡
2023-01-13,Yes,Yes,Yes,No,No,5,5,3,Great! 🌟
2023-01-14,Yes,Yes,Yes,No,No,17,0,6,Energetic ⚡
2023-01-15,Yes,Yes,Yes,No,Yes,12,2,5,Energetic ⚡
2023-01-16,Yes,No,Yes,Yes,No,0,5,7,Tired 😴
2023-01-17,No,No,Yes,No,No,9,11,5,Happy 😊
2023-01-18,Yes,Yes,Yes,No,No,19,12,6,Happy 😊
2023-01-19,No,No,No,Yes,Yes,16,8,10,Meh 😐
2023-01-20,Yes,Yes,Yes,No,Yes,17,3,3,Great! 🌟
2023-01-21,Yes,No,Yes,No,Yes,14,11,8,Energetic ⚡
